Depth,N
248.0,0.004529548433808455
249.0,0.007547566131076918
250.0,0.007511412448371665
251.0,0.004293059445459009
252.0,0.007497513965346434
253.0,0.006695316645076231
254.0,0.005447685843087403
255.0,0.008759708737424588
256.0,0.002935152416042936
257.0,0.004942885387876303
258.0,0.007295228399893151
259.0,0.00178086518729754
260.0,0.006238357999829881
261.0,0.007400372421351453
262.0,0.006920554511480407
263.0,0.006703685602570108
264.0,0.0064868166936598096
265.0,0.007001669682599959
266.0,0.0030263682239515615
267.0,0.010076320169368349
268.0,0.009009195172825538
269.0,0.009524673516338854
270.0,0.00817619580347916
271.0,0.008471665988493027
272.0,0.01136966516796118
273.0,0.006549953472800166
274.0,0.005558590165307238
275.0,0.008556929515962052
276.0,0.010297197084900329
277.0,0.01002459635159348
278.0,0.009751995618286633
279.0,0.0060126927651460715
280.0,0.004493104573393149
281.0,0.01866511496294856
282.0,0.005334898320625575
283.0,0.00481830480745537
284.0,0.0003470816250960026
285.0,0.008161655716538261
286.0,0.006634398988351086
287.0,0.006063776068479291
288.0,0.0008835583598272188
289.0,0.0026092600121580085
290.0,0.004334961664488798
291.0,0.0047965084051616105
292.0,0.006656866624935212
293.0,0.006219016739441579
