Depth,N,Temperature
0.0,,0.7297818144552584
1.0,0.05548051283513976,0.517560402652408
2.0,0.052515695867774,0.41111207116327075
3.0,0.05687943086216835,0.30209960353413634
4.0,0.05859986579623918,0.23632899937392596
5.0,0.05915646119844344,0.1691026317985142
6.0,0.059585330392533026,0.1085269120141994
7.0,0.056324709345273394,0.10040029292128326
8.0,0.050372544594506595,0.09514950302757849
9.0,0.047843499427401535,0.0880460062339302
10.0,0.053753105627710435,0.07060475143037519
11.0,0.053069689789177886,0.09459423866933571
12.0,0.04567568126201126,0.11017025360139861
13.0,0.04294237292746842,0.11224532526334778
14.0,0.0454467655690086,0.12110457131673881
15.0,0.041932685977246455,0.14741376575341325
16.0,0.04015523473260157,0.16565786025811308
17.0,0.04602917775769992,0.16117405881673882
18.0,0.039611335580204646,0.18278577573953825
19.0,0.03483616374167423,0.19431516828823953
20.0,0.03742345772051049,0.21857809471500725
21.0,0.0338540386503178,0.2390981729076479
22.0,0.03460955625301064,0.2616479316991342
23.0,0.03047924579111599,0.27164517071608957
24.0,0.025061661212365808,0.28397176896464643
25.0,0.01931659852687274,0.2943645408570596
26.0,0.02066014043934742,0.302073941053391
27.0,0.01857065185207439,0.30815891715367955
28.0,0.02085974227723459,0.3198172205898268
29.0,0.023226089201926297,0.33077658864357856
30.0,0.02631502408409405,0.34062737785964037
31.0,0.028125837495454435,0.35037732739621485
32.0,0.028377826495192198,0.35834141994047614
33.0,0.032409158505300205,0.3872879785435524
34.0,0.030935040983788405,0.41660744211678474
35.0,0.02245176832894731,0.4344408374549062
36.0,0.018840072758821783,0.44768735776515156
37.0,0.019922849991883332,0.4501629592450478
38.0,0.018615070905103056,0.4492239132969304
39.0,0.01751541078211408,0.47130551044552677
40.0,0.016991182988041607,0.4890438215941886
41.0,0.014675872399556774,0.4995180371138332
42.0,0.011889321084660266,0.5072934195247933
43.0,0.010557219507444307,0.5120141662845993
44.0,0.008954133502997728,0.5123882027425226
45.0,0.008901078053861481,0.5122413940008856
